Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - Gmail Suite,Chrome 118.0.0.0,,,2023-11-01 11:41:40,2023-11-01 11:42:49,1m - 8.611s,PASSED
,,,,,,,
Test Cases/Gmail - Forgot email verification,Chrome 118.0.0.0,,,2023-11-01 11:41:41,2023-11-01 11:42:21,40.471s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 11:41:41,2023-11-01 11:41:41,0.089s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 11:41:41,2023-11-01 11:41:45,4.508s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AVQVeyz2KxDaCIoSux7c4LnD_19qaKALraXqCL6tDXgQtR0fl_r0sRWKJdWPPWF9Ald7Va9H4pwIZA&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S285881911%3A1698779896826121&theme=glif#inbox"")",Chrome 118.0.0.0,,,2023-11-01 11:41:45,2023-11-01 11:41:47,1.310s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 11:41:47,2023-11-01 11:41:47,0.196s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/button_Forgot email""))",Chrome 118.0.0.0,,,2023-11-01 11:41:47,2023-11-01 11:41:49,1.694s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Next""))",Chrome 118.0.0.0,,,2023-11-01 11:41:49,2023-11-01 11:42:20,31.621s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Gmail/Page_Gmail/div_Enter a valid email or phone number""), 0)",Chrome 118.0.0.0,,,2023-11-01 11:42:20,2023-11-01 11:42:21,0.453s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 11:42:21,2023-11-01 11:42:21,0.379s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 11:42:21,2023-11-01 11:42:21,0.006s,PASSED
,,,,,,,
Test Cases/Gmail - Incorrect login verification,Chrome 118.0.0.0,,,2023-11-01 11:42:21,2023-11-01 11:42:29,8.216s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 11:42:21,2023-11-01 11:42:21,0.003s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 11:42:21,2023-11-01 11:42:24,2.845s,PASSED
