Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - Katalon Suite4,Chrome 118.0.0.0,,,2023-10-31 23:28:39,2023-10-31 23:28:50,11.248s,PASSED
,,,,,,,
Test Cases/Katalon - Verify Katalon version,Chrome 118.0.0.0,,,2023-10-31 23:28:39,2023-10-31 23:28:50,10.920s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-10-31 23:28:39,2023-10-31 23:28:39,0.103s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-31 23:28:39,2023-10-31 23:28:43,4.115s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-10-31 23:28:43,2023-10-31 23:28:46,3.050s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 23:28:46,2023-10-31 23:28:47,0.270s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-10-31 23:28:47,2023-10-31 23:28:49,1.986s,PASSED
"verifyElementText(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/span_Katalon Studio 9.0.0""), ""Katalon Studio 9.0.0"")",Chrome 118.0.0.0,,,2023-10-31 23:28:49,2023-10-31 23:28:49,0.570s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-31 23:28:49,2023-10-31 23:28:50,0.471s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-10-31 23:28:50,2023-10-31 23:28:50,0.007s,PASSED
