Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - Katalon Suite3,Chrome 118.0.0.0,,,2023-11-01 11:45:59,2023-11-01 11:47:15,1m - 16.144s,PASSED
,,,,,,,
Test Cases/Katalon - Learn More verification,Chrome 118.0.0.0,,,2023-11-01 11:46:00,2023-11-01 11:46:25,25.502s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 11:46:00,2023-11-01 11:46:00,0.097s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 11:46:00,2023-11-01 11:46:07,6.752s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 11:46:07,2023-11-01 11:46:12,5.051s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 11:46:12,2023-11-01 11:46:12,0.236s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-11-01 11:46:12,2023-11-01 11:46:15,2.408s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/a_Learn more""))",Chrome 118.0.0.0,,,2023-11-01 11:46:15,2023-11-01 11:46:15,0.731s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/a_Learn more""))",Chrome 118.0.0.0,,,2023-11-01 11:46:15,2023-11-01 11:46:19,3.244s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/div_TABLE OF CONTENTS""), 0)",Chrome 118.0.0.0,,,2023-11-01 11:46:19,2023-11-01 11:46:20,1.433s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/a_Key performance improvements in Katalon S_185eed""))",Chrome 118.0.0.0,,,2023-11-01 11:46:20,2023-11-01 11:46:21,1.113s,PASSED
"rightClick(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/strong_Key performance improvements in Kata_e75e1d""))",Chrome 118.0.0.0,,,2023-11-01 11:46:21,2023-11-01 11:46:23,1.490s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/strong_Key performance improvements in Kata_e75e1d""))",Chrome 118.0.0.0,,,2023-11-01 11:46:23,2023-11-01 11:46:23,0.394s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Katalon/Page_Katalon Studio 9.0.0 Performance Boost_5d349a/strong_Key performance improvements in Kata_e75e1d""))",Chrome 118.0.0.0,,,2023-11-01 11:46:23,2023-11-01 11:46:23,0.443s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 11:46:23,2023-11-01 11:46:25,1.729s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 11:46:25,2023-11-01 11:46:25,0.005s,PASSED
,,,,,,,
Test Cases/Katalon Price Check,Chrome 118.0.0.0,,,2023-11-01 11:46:25,2023-11-01 11:46:43,17.910s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 11:46:25,2023-11-01 11:46:25,0.003s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 11:46:25,2023-11-01 11:46:28,3.049s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 11:46:28,2023-11-01 11:46:32,3.479s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 11:46:32,2023-11-01 11:46:32,0.267s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-11-01 11:46:32,2023-11-01 11:46:34,1.688s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/div_Pricing""))",Chrome 118.0.0.0,,,2023-11-01 11:46:34,2023-11-01 11:46:37,3.495s,PASSED
"setText(findTestObject(""Object Repository/Katalon/Page_Software Quality Management Platform  _0ea48f/inputinput_platform_kse_number""), ""5"")",Chrome 118.0.0.0,,,2023-11-01 11:46:37,2023-11-01 11:46:39,2.066s,PASSED
"setText(findTestObject(""Object Repository/Katalon/Page_Software Quality Management Platform  _0ea48f/inputinput_platform_testcloud_number""), ""5"")",Chrome 118.0.0.0,,,2023-11-01 11:46:39,2023-11-01 11:46:41,1.635s,PASSED
