Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - Gmail Suite,Edge Chromium 118,,,2023-11-01 11:44:42,2023-11-01 11:45:49,1m - 6.480s,PASSED
,,,,,,,
Test Cases/Gmail - Forgot email verification,Edge Chromium 118,,,2023-11-01 11:44:43,2023-11-01 11:45:23,40.149s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 118,,,2023-11-01 11:44:43,2023-11-01 11:44:43,0.060s,PASSED
"openBrowser("""")",Edge Chromium 118,,,2023-11-01 11:44:43,2023-11-01 11:44:47,4.232s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AVQVeyz2KxDaCIoSux7c4LnD_19qaKALraXqCL6tDXgQtR0fl_r0sRWKJdWPPWF9Ald7Va9H4pwIZA&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S285881911%3A1698779896826121&theme=glif#inbox"")",Edge Chromium 118,,,2023-11-01 11:44:47,2023-11-01 11:44:49,1.421s,PASSED
maximizeWindow(),Edge Chromium 118,,,2023-11-01 11:44:49,2023-11-01 11:44:49,0.195s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/button_Forgot email""))",Edge Chromium 118,,,2023-11-01 11:44:49,2023-11-01 11:44:50,1.532s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Next""))",Edge Chromium 118,,,2023-11-01 11:44:50,2023-11-01 11:45:22,31.479s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Gmail/Page_Gmail/div_Enter a valid email or phone number""), 0)",Edge Chromium 118,,,2023-11-01 11:45:22,2023-11-01 11:45:22,0.451s,PASSED
closeBrowser(),Edge Chromium 118,,,2023-11-01 11:45:22,2023-11-01 11:45:23,0.529s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 118,,,2023-11-01 11:45:23,2023-11-01 11:45:23,0.006s,PASSED
,,,,,,,
Test Cases/Gmail - Incorrect login verification,Edge Chromium 118,,,2023-11-01 11:45:23,2023-11-01 11:45:30,6.648s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 118,,,2023-11-01 11:45:23,2023-11-01 11:45:23,0.004s,PASSED
"openBrowser("""")",Edge Chromium 118,,,2023-11-01 11:45:23,2023-11-01 11:45:26,2.598s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AVQVeywlj-QeinCv6drOjCNfoQ8bXTmpp7Hl7eVjr0AUWTEmWXqv0AIumDuU5lI3vpnkTyFo2aOM&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S-1458760932%3A1698778577004689&theme=glif#inbox"")",Edge Chromium 118,,,2023-11-01 11:45:26,2023-11-01 11:45:27,1.276s,PASSED
maximizeWindow(),Edge Chromium 118,,,2023-11-01 11:45:27,2023-11-01 11:45:27,0.171s,PASSED
"setText(findTestObject(""Object Repository/Gmail/Page_Gmail/input_identifier""), ""abcxyz"")",Edge Chromium 118,,,2023-11-01 11:45:27,2023-11-01 11:45:28,0.845s,PASSED
"click(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Next""))",Edge Chromium 118,,,2023-11-01 11:45:28,2023-11-01 11:45:28,0.631s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Gmail/Page_Gmail/span_Couldnt sign you in""), 0)",Edge Chromium 118,,,2023-11-01 11:45:28,2023-11-01 11:45:29,0.429s,PASSED
closeBrowser(),Edge Chromium 118,,,2023-11-01 11:45:29,2023-11-01 11:45:30,0.578s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 118,,,2023-11-01 11:45:30,2023-11-01 11:45:30,0.003s,PASSED
,,,,,,,
Test Cases/Gmail - Try again with invalid login,Edge Chromium 118,,,2023-11-01 11:45:30,2023-11-01 11:45:42,12.525s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 118,,,2023-11-01 11:45:30,2023-11-01 11:45:30,0.002s,PASSED
"openBrowser("""")",Edge Chromium 118,,,2023-11-01 11:45:30,2023-11-01 11:45:33,3.114s,PASSED
