Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reshna - All TCs Suite2,Chrome 118.0.0.0,,,2023-11-01 10:06:23,2023-11-01 10:28:01,21m - 38.662s,FAILED
,,,,,,,
Test Cases/Deloitte - Careers Test,Chrome 118.0.0.0,,,2023-11-01 10:06:23,2023-11-01 10:06:48,25.076s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 10:06:23,2023-11-01 10:06:23,0.073s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 10:06:23,2023-11-01 10:06:27,4.266s,PASSED
"navigateToUrl(""https://www2.deloitte.com/us/en.html"")",Chrome 118.0.0.0,,,2023-11-01 10:06:27,2023-11-01 10:06:31,3.481s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 10:06:31,2023-11-01 10:06:31,0.318s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/button_Accept and close""))",Chrome 118.0.0.0,,,2023-11-01 10:06:31,2023-11-01 10:06:36,4.733s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/a_Careers""))",Chrome 118.0.0.0,,,2023-11-01 10:06:36,2023-11-01 10:06:37,0.963s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/a_Life at Deloitte""))",Chrome 118.0.0.0,,,2023-11-01 10:06:37,2023-11-01 10:06:45,8.036s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Deloitte/Page_Life at Deloitte  Deloitte US/p_OurPeople""), 0)",Chrome 118.0.0.0,,,2023-11-01 10:06:45,2023-11-01 10:06:46,0.651s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Deloitte/Page_Life at Deloitte  Deloitte US/p_Culture""), 0)",Chrome 118.0.0.0,,,2023-11-01 10:06:46,2023-11-01 10:06:46,0.303s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Deloitte/Page_Life at Deloitte  Deloitte US/p_Careers""), 0)",Chrome 118.0.0.0,,,2023-11-01 10:06:46,2023-11-01 10:06:46,0.303s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Deloitte/Page_Life at Deloitte  Deloitte US/p_WhyDeloitte""), 0)",Chrome 118.0.0.0,,,2023-11-01 10:06:46,2023-11-01 10:06:47,0.322s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Life at Deloitte  Deloitte US/p_Careers""))",Chrome 118.0.0.0,,,2023-11-01 10:06:47,2023-11-01 10:06:47,0.405s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Deloitte/Page_Life at Deloitte  Deloitte US/img_careers-thumbnail-img""))",Chrome 118.0.0.0,,,2023-11-01 10:06:47,2023-11-01 10:06:48,0.511s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 10:06:48,2023-11-01 10:06:48,0.470s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 10:06:48,2023-11-01 10:06:48,0.005s,PASSED
,,,,,,,
Test Cases/Deloitte - dropdown value selection test,Chrome 118.0.0.0,,,2023-11-01 10:06:48,2023-11-01 10:07:05,17.017s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 10:06:48,2023-11-01 10:06:48,0.003s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 10:06:48,2023-11-01 10:06:51,2.807s,PASSED
"navigateToUrl(""https://apply.deloitte.com/"")",Chrome 118.0.0.0,,,2023-11-01 10:06:51,2023-11-01 10:06:54,2.595s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 10:06:54,2023-11-01 10:06:54,0.149s,PASSED
"setText(findTestObject(""Object Repository/Deloitte/Page_Job Search  Deloitte US/input9336-search__field""), ""new"")",Chrome 118.0.0.0,,,2023-11-01 10:06:54,2023-11-01 10:06:54,0.831s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Job Search  Deloitte US/li_New Jersey""))",Chrome 118.0.0.0,,,2023-11-01 10:06:54,2023-11-01 10:06:56,1.772s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Job Search  Deloitte US/button_Search""))",Chrome 118.0.0.0,,,2023-11-01 10:06:56,2023-11-01 10:07:03,7.133s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Job Search  Deloitte US/div_2 jobs                                 _eba8a8""))",Chrome 118.0.0.0,,,2023-11-01 10:07:03,2023-11-01 10:07:04,0.683s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Job Search  Deloitte US/div_2 jobs                                 _eba8a8""))",Chrome 118.0.0.0,,,2023-11-01 10:07:04,2023-11-01 10:07:04,0.324s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Job Search  Deloitte US/div_2 jobs                                 _eba8a8""))",Chrome 118.0.0.0,,,2023-11-01 10:07:04,2023-11-01 10:07:05,0.330s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 10:07:05,2023-11-01 10:07:05,0.285s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 10:07:05,2023-11-01 10:07:05,0.002s,PASSED
,,,,,,,
Test Cases/Deloitte - Search job within Deloitte Careers,Chrome 118.0.0.0,,,2023-11-01 10:07:46,2023-11-01 10:07:59,12.384s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 10:07:46,2023-11-01 10:07:46,0.001s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 10:07:46,2023-11-01 10:07:50,3.137s,PASSED
"navigateToUrl(""https://www2.deloitte.com/us/en.html"")",Chrome 118.0.0.0,,,2023-11-01 10:07:50,2023-11-01 10:07:52,2.359s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 10:07:52,2023-11-01 10:07:52,0.375s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/button_Accept and close""))",Chrome 118.0.0.0,,,2023-11-01 10:07:52,2023-11-01 10:07:57,5.121s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/i_icon-search""))",Chrome 118.0.0.0,,,2023-11-01 10:07:57,2023-11-01 10:07:58,0.718s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/a_Experienced Professionals""))",Chrome 118.0.0.0,,,2023-11-01 10:07:58,2023-11-01 10:07:59,0.652s,FAILED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 10:07:59,2023-11-01 10:07:59,0.001s,PASSED
,,,,,,,
Test Cases/Deloitte - Verify Deloitte Login with invalid credentials,Chrome 118.0.0.0,,,2023-11-01 10:07:59,2023-11-01 10:08:09,9.821s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 10:07:59,2023-11-01 10:07:59,0.002s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 10:07:59,2023-11-01 10:08:02,3.279s,PASSED
"navigateToUrl(""https://apply.deloitte.com/"")",Chrome 118.0.0.0,,,2023-11-01 10:08:02,2023-11-01 10:08:05,2.609s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 10:08:05,2023-11-01 10:08:05,0.129s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Job Search  Deloitte US/a_Login""))",Chrome 118.0.0.0,,,2023-11-01 10:08:05,2023-11-01 10:08:06,1.344s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Login  Deloitte US/button_Log in""))",Chrome 118.0.0.0,,,2023-11-01 10:08:06,2023-11-01 10:08:07,1.245s,PASSED
"verifyElementText(findTestObject(""Object Repository/Deloitte/Page_Login  Deloitte US/div_Username is required""), ""Username is required."")",Chrome 118.0.0.0,,,2023-11-01 10:08:07,2023-11-01 10:08:08,0.560s,PASSED
"verifyElementText(findTestObject(""Object Repository/Deloitte/Page_Login  Deloitte US/div_Password is required""), ""Password is required."")",Chrome 118.0.0.0,,,2023-11-01 10:08:08,2023-11-01 10:08:08,0.299s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 10:08:08,2023-11-01 10:08:09,0.257s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 10:08:09,2023-11-01 10:08:09,0.001s,PASSED
,,,,,,,
Test Cases/Download Deloitte Survey findins - Switch Window,Chrome 118.0.0.0,,,2023-11-01 10:08:09,2023-11-01 10:08:26,16.895s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 10:08:09,2023-11-01 10:08:09,0.002s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 10:08:09,2023-11-01 10:08:12,3.211s,PASSED
"navigateToUrl(""https://www2.deloitte.com/us/en.html"")",Chrome 118.0.0.0,,,2023-11-01 10:08:12,2023-11-01 10:08:14,2.436s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 10:08:14,2023-11-01 10:08:15,0.312s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/button_Accept and close""))",Chrome 118.0.0.0,,,2023-11-01 10:08:15,2023-11-01 10:08:20,5.355s,PASSED
"click(findTestObject(""Object Repository/Deloitte/Page_Deloitte US  Audit, Consulting, Adviso_ec7ae4/div_Read the survey findings""))",Chrome 118.0.0.0,,,2023-11-01 10:08:20,2023-11-01 10:08:24,4.242s,PASSED
